,doc2vec_dm,doc2vec_dm_mean,doc2vec_docs,doc2vec_epochs,doc2vec_hs,doc2vec_learning_rate_end,doc2vec_learning_rate_start,doc2vec_min_count,doc2vec_negative,doc2vec_vector_size,doc2vec_window,f1,nn_batch_size,nn_dense_activation_function,nn_dropout,nn_epochs,nn_features,nn_hidden_neurons,nn_layers,nn_lstm_activation_function,nn_lstm_n_prev,precision,recall
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6708473818149766,25,linear,0.1,40,"bpm, measure, beat",40,15,selu,12,0.7446416470304023,0.6386087636819037
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6068921065252951,25,linear,0.05,20,"bpm, measure, beat",40,20,selu,16,0.6631521720432971,0.5926695006874193
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.5607945978743845,15,linear,0.05,20,"bpm, measure, beat",30,15,selu,12,0.6122179666147187,0.5422697623528521
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6144839046968503,15,linear,0.05,40,"bpm, measure, beat",40,10,selu,16,0.6422254572452585,0.6075092764146844
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6600845600618372,25,linear,0.0,20,"bpm, measure, beat",30,10,selu,16,0.6847483645932,0.6565458906236677
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6572710610820072,25,linear,0.05,40,"bpm, measure, beat",40,10,selu,16,0.6783680446311102,0.6596478319519284
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.7725596523265809,25,linear,0.0,40,"bpm, measure, beat",30,15,selu,16,0.7827494199986571,0.7891168017182429
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.6895612150887099,15,linear,0.0,40,"bpm, measure, beat",40,10,selu,16,0.7258206720746486,0.6852114500949145
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.7723593768409712,25,linear,0.05,40,"bpm, measure, beat",40,15,selu,16,0.7781235035243994,0.7818921758868522
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5657353037839279,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,12,0.6286497917197421,0.5347171650079602
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6493520802453877,15,linear,0.1,40,"bpm, measure, beat",30,10,selu,12,0.7136610067415674,0.624317453553513
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.46680625400037457,25,linear,0.05,20,"bpm, measure, beat",30,20,selu,12,0.5293391660593526,0.4359789031628248
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.674271879963711,25,linear,0.0,40,"bpm, measure, beat",30,15,selu,12,0.75070086600432,0.6413757754034016
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.7269617658749645,15,linear,0.05,40,"bpm, measure, beat",30,15,selu,16,0.7367649547679411,0.7375980610577767
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6635117570834553,15,linear,0.1,40,"bpm, measure, beat",40,20,selu,12,0.7352229880641823,0.6331936996682946
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.637486370453974,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,16,0.638157346415478,0.66148940904508
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6892738640287822,15,linear,0.0,20,"bpm, measure, beat",30,10,selu,16,0.7392035129131799,0.6710205748574897
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6752348018192335,25,linear,0.1,40,"bpm, measure, beat",40,20,selu,16,0.6897433400419831,0.6927178780616422
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6253035128146337,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,12,0.6996237118731629,0.5945506717250916
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6191361267729509,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,16,0.6244522795259665,0.6330660508840085
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.7306301136808182,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,16,0.7418169454168934,0.7460318345503049
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.4435271214496341,25,linear,0.05,40,"bpm, measure, beat",30,20,selu,12,0.47283120273475615,0.4332702988098856
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.6871492732850909,15,linear,0.1,40,"bpm, measure, beat",40,15,selu,16,0.7095349945703774,0.6864646284726789
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6640332672826345,25,linear,0.1,20,"bpm, measure, beat",40,15,selu,16,0.702946284745285,0.6546700211765458
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.5375511045792906,15,linear,0.0,40,"bpm, measure, beat",40,10,selu,12,0.5829204539167208,0.5315847560115873
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.7142707742026055,15,linear,0.1,40,"bpm, measure, beat",40,15,selu,16,0.7380943383767509,0.711976835829332
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.7061876964434908,25,linear,0.0,20,"bpm, measure, beat",40,15,selu,16,0.6962795570404477,0.7461923741869206
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6583576430839296,25,linear,0.05,40,"bpm, measure, beat",30,15,selu,12,0.7256445756786875,0.6309549697422033
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.43257771266282835,15,linear,0.05,20,"bpm, measure, beat",30,20,selu,12,0.47246712814466063,0.41307211011385164
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.6899912659926944,15,linear,0.1,20,"bpm, measure, beat",30,10,selu,16,0.7082245050497988,0.6897902561993973
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.7484412608414427,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,16,0.8072422899080044,0.7256519940152999
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6321632908612527,15,linear,0.1,40,"bpm, measure, beat",30,20,selu,12,0.7029631546650733,0.5998395949529697
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.7493630888865583,25,linear,0.05,20,"bpm, measure, beat",30,15,selu,16,0.7884819030147862,0.7364486753144807
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6589474857675383,15,linear,0.1,40,"bpm, measure, beat",40,20,selu,12,0.743142013929709,0.6172893268783924
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.5564923526550831,25,linear,0.0,20,"bpm, measure, beat",30,20,selu,12,0.635467716134091,0.5174437761075183
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6598925821535958,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,12,0.7288388594206676,0.6338744264891106
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.7298366415096923,25,linear,0.0,20,"bpm, measure, beat",30,15,selu,16,0.7463124899078935,0.7461316134626529
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6711588434420378,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,12,0.7276692697999859,0.6557365003279213
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.5474435761355144,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,12,0.5873585769741115,0.535625602849084
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6571910770333157,15,linear,0.0,20,"bpm, measure, beat",30,10,selu,16,0.6780844945845271,0.6538110661463256
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5789578953150984,25,linear,0.05,40,"bpm, measure, beat",30,10,selu,16,0.5891842026556043,0.581596566177492
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6320316052613624,25,linear,0.05,40,"bpm, measure, beat",40,15,selu,12,0.6962189867409595,0.6061787074772162
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.574725853776585,15,linear,0.0,40,"bpm, measure, beat",40,15,selu,12,0.6489150711725471,0.5391252025912188
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.50320590393877,25,linear,0.0,20,"bpm, measure, beat",30,15,selu,12,0.5459045599086979,0.4818565759538059
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.5400164673585438,15,linear,0.0,20,"bpm, measure, beat",30,15,selu,16,0.5769064856385508,0.5324306342809232
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7098988930450334,15,linear,0.05,20,"bpm, measure, beat",40,10,selu,16,0.7479215115714499,0.7014915601781797
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6973235169158043,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,16,0.7419257043388706,0.6810000475357874
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6538225616684359,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,16,0.7015988948761785,0.6367837101330577
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.7292395124862826,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,16,0.7695509699242739,0.7168650222243679
